labelAnnotations,fullTextAnnotation,image_file
"Automotive design,Customer,Crowd,Metal,City,Shopping,Escalator,Retail,Glass,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1040.jpeg
"Automotive design,Automotive lighting,Motor vehicle,Automotive exterior,City,Shopping,Escalator,Retail,Glass,Event",عدات,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1041.jpeg
"Automotive lighting,Motor vehicle,Vehicle door,Automotive exterior,Tints and shades,Vehicle,Car,Automotive mirror,Personal luxury car,Automotive design",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1042.jpeg
"Automotive design,Motor vehicle,Automotive exterior,Mode of transport,Vehicle door,City,Pedestrian,Travel,Glass,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1043.jpeg
"Windshield,Automotive design,Automotive window part,Motor vehicle,Automotive exterior,Pedestrian,Fun,Travel,Glass,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1044.jpeg
"Crowd,Automotive design,Leisure,City,Community,Escalator,Fun,Travel,Glass,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1045.jpeg
"Windshield,Crowd,Automotive design,Leisure,Motor vehicle,Automotive exterior,City,Fun,Glass,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1046.jpeg
"Windshield,Event,Auto part,Motor vehicle,Automotive exterior,Vehicle door,Hood,Automotive mirror,Bumper,Automotive design",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1047.jpeg
"Engineering,Auto part,Automotive lighting,Motor vehicle,Automotive exterior,Hood,Vehicle,Personal luxury car,Glass,Automotive design",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1048.jpeg
"Windshield,Automotive tire,Automotive window part,Auto part,Motor vehicle,Automotive exterior,Font,Bumper,Glass,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1049.jpeg
"Crowd,Cap,Youth,Jersey,T-shirt,Hat,Fun,Baseball cap,Sleeve,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_105.jpeg
"Windshield,Automotive design,Auto part,Automotive lighting,Motor vehicle,Automotive exterior,Metal,Bumper,Glass,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1050.jpeg
"Carmine,Crowd,Visual arts,Font,Audience,Magenta,Art,Glass,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1051.jpeg
"Carmine,Crowd,Arena,Competition event,Fan,Player,Recreation,Sport venue,Fun,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1052.jpeg
"Carmine,Arena,Fan,Handrail,Audience,Stairs,Art,Glass,Stadium,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1053.jpeg
"Carmine,Crowd,Team,Fan,Handrail,Audience,Sport venue,Stairs,Art,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1054.jpeg
"Carmine,Team,Arena,Steel,Fan,Handrail,T-shirt,Audience,Sport venue,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1055.jpeg
"Carmine,Crowd,Steel,Fan,Suit,Handrail,Stairs,Event","pharmacy
LOVE
LOVE",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1056.jpeg
"Carmine,Crowd,Team,Fan,Suit,Handrail,Audience,Stairs,Event","phomacy
LOVE->
LOVE",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1057.jpeg
"Carmine,Crowd,Team,Metal,Fan,Suit,Handrail,Audience,Stairs,Event",D,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1058.jpeg
"Carmine,Crowd,Team,Fan,Suit,Recreation,Audience,Stairs,Public event,Event","a
pharmacy
Max",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1059.jpeg
